	shluc1	shluc2	shY1	shY2
ENSG00000000003	222	240	230	207
ENSG00000000005	0	0	0	0
ENSG00000000419	378	434	503	443
ENSG00000000457	170	195	172	193
ENSG00000000460	281	285	337	413
ENSG00000000938	2	2	1	7
ENSG00000000971	56	34	44	50
ENSG00000001036	1759	2090	2920	2742
ENSG00000001084	309	368	297	278
ENSG00000001167	567	604	488	527
ENSG00000001460	146	154	133	116
ENSG00000001461	938	1068	844	763
ENSG00000001497	980	1119	1136	1086
ENSG00000001561	220	247	371	319
ENSG00000001617	70	78	135	167
ENSG00000001626	0	0	0	0
ENSG00000001629	757	876	926	905
ENSG00000001630	13	18	17	22
ENSG00000001631	78	74	92	92
ENSG00000002016	79	114	63	104
ENSG00000002079	4	2	0	0
ENSG00000002330	476	509	829	813
ENSG00000002549	844	1043	1065	1137
ENSG00000002586	1218	1355	1742	1533
ENSG00000002587	11	16	18	11
ENSG00000002726	0	0	0	1
ENSG00000002745	1	0	1	7
ENSG00000002746	21	8	15	20
ENSG00000002822	7	9	10	11
ENSG00000002834	3193	3689	4988	4727
ENSG00000002919	277	288	287	270
ENSG00000002933	1	0	0	2
ENSG00000003056	976	1070	904	888
ENSG00000003096	434	541	230	211
ENSG00000003137	31	42	59	38
ENSG00000003147	38	29	13	23
ENSG00000003249	350	388	212	200
ENSG00000003393	340	383	402	398
ENSG00000003400	2	3	0	1
ENSG00000003402	343	400	394	365
ENSG00000003436	248	284	229	220
ENSG00000003509	216	241	235	236
ENSG00000003756	1063	1124	886	827
ENSG00000003987	95	110	127	125
ENSG00000003989	197	210	135	111
ENSG00000004059	587	737	773	653
ENSG00000004139	335	371	341	343
ENSG00000004142	1709	1964	2102	1975
ENSG00000004399	1152	1231	1133	1028
ENSG00000004455	1945	2157	1868	1877
ENSG00000004468	0	0	3	0
ENSG00000004478	1465	1650	1522	1425
ENSG00000004487	1368	1564	1617	1549
ENSG00000004534	889	921	752	764
ENSG00000004660	58	53	50	50
ENSG00000004700	976	1133	1085	1027
ENSG00000004766	253	315	324	334
ENSG00000004776	7	7	10	0
ENSG00000004777	333	355	317	297
ENSG00000004779	633	721	745	708
ENSG00000004799	16	5	13	16
ENSG00000004809	1	0	0	0
ENSG00000004838	17	22	13	2
ENSG00000004846	1	0	0	0
ENSG00000004848	1	3	0	1
ENSG00000004864	752	817	896	798
ENSG00000004866	218	260	226	200
ENSG00000004897	1610	1766	1688	1667
ENSG00000004939	0	0	0	0
ENSG00000004948	0	0	0	1
ENSG00000004961	255	329	471	431
ENSG00000004975	621	642	732	708
ENSG00000005001	0	0	0	0
ENSG00000005007	2137	2414	2407	2336
ENSG00000005020	382	424	483	417
ENSG00000005022	7145	8046	8558	8162
ENSG00000005059	317	390	474	431
ENSG00000005073	6	16	23	26
ENSG00000005075	378	493	466	397
ENSG00000005100	718	788	557	667
ENSG00000005102	0	0	0	0
ENSG00000005108	10	15	9	10
ENSG00000005156	585	672	570	529
ENSG00000005175	465	525	508	547
ENSG00000005187	84	73	62	94
ENSG00000005189	81	84	69	81
ENSG00000005194	751	828	757	743
ENSG00000005206	356	414	342	309
ENSG00000005238	268	280	388	408
ENSG00000005243	13	8	5	6
ENSG00000005249	137	141	152	145
ENSG00000005302	380	350	554	529
ENSG00000005339	685	719	597	588
ENSG00000005379	3	0	5	0
ENSG00000005381	0	0	0	0
ENSG00000005421	1	1	0	0
ENSG00000005436	267	353	382	367
ENSG00000005448	272	295	238	225
ENSG00000005469	217	255	332	283
ENSG00000005471	27	37	14	20
ENSG00000005483	840	1008	838	892
ENSG00000005486	509	636	807	746
ENSG00000005513	0	0	0	0
ENSG00000005700	666	839	967	974
ENSG00000005801	212	272	171	167
ENSG00000005810	726	764	530	588
ENSG00000005812	578	634	774	797
ENSG00000005844	5	3	0	5
ENSG00000005882	158	148	146	95
ENSG00000005884	11943	13331	10257	9924
ENSG00000005889	391	459	522	481
ENSG00000005893	5528	6706	5086	4886
ENSG00000005961	5	10	9	6
ENSG00000005981	0	1	0	0
ENSG00000006007	570	656	740	681
ENSG00000006015	407	429	298	222
ENSG00000006016	160	163	109	119
ENSG00000006025	132	142	93	108
ENSG00000006042	11	19	1	5
ENSG00000006047	2	1	0	0
ENSG00000006059	0	0	0	0
ENSG00000006062	636	744	940	912
ENSG00000006071	0	0	0	0
ENSG00000006116	0	0	0	0
ENSG00000006118	925	1039	544	515
ENSG00000006125	6115	6737	5267	4997
ENSG00000006128	0	0	0	0
ENSG00000006194	277	325	411	334
ENSG00000006210	55	49	9	16
ENSG00000006282	210	213	247	216
ENSG00000006283	0	4	0	1
ENSG00000006327	2648	2893	3814	3555
ENSG00000006377	75	84	151	147
ENSG00000006432	182	200	143	185
ENSG00000006451	704	811	913	823
ENSG00000006453	62	64	101	117
ENSG00000006459	55	72	64	90
ENSG00000006468	208	268	224	225
ENSG00000006530	619	712	726	699
ENSG00000006534	123	145	149	117
ENSG00000006555	0	0	0	0
ENSG00000006576	549	634	733	642
ENSG00000006606	9	8	23	26
ENSG00000006607	397	450	527	511
ENSG00000006611	0	0	0	0
ENSG00000006625	74	106	100	70
ENSG00000006634	675	790	801	792
ENSG00000006638	33	40	66	69
ENSG00000006652	1892	2186	2315	2224
ENSG00000006659	0	0	0	0
ENSG00000006695	189	157	220	183
ENSG00000006704	357	404	373	404
ENSG00000006712	976	1112	1245	1179
ENSG00000006715	673	752	760	750
ENSG00000006740	5	6	7	2
ENSG00000006744	1506	1800	1752	1638
ENSG00000006747	5	3	3	0
ENSG00000006756	79	68	71	59
ENSG00000006757	0	0	0	0
ENSG00000006788	0	0	0	0
ENSG00000006831	674	766	805	737
ENSG00000006837	5	8	7	5
ENSG00000007001	0	1	0	2
ENSG00000007038	0	0	0	0
ENSG00000007047	354	430	349	305
ENSG00000007062	0	0	0	0
ENSG00000007080	832	903	884	824
ENSG00000007129	0	0	0	0
ENSG00000007168	1961	2218	1931	1962
ENSG00000007171	0	0	0	3
ENSG00000007174	11	13	1	4
ENSG00000007202	4129	4539	3795	3729
ENSG00000007216	0	0	0	0
ENSG00000007237	0	1	1	2
ENSG00000007255	20	19	17	6
ENSG00000007264	0	0	0	1
ENSG00000007306	0	0	0	0
ENSG00000007312	0	0	0	0
ENSG00000007314	0	0	0	0
ENSG00000007341	154	174	166	136
ENSG00000007350	9	19	4	4
ENSG00000007372	172	224	220	234
ENSG00000007376	316	406	353	328
ENSG00000007384	220	252	312	236
ENSG00000007392	349	410	421	315
ENSG00000007402	11	8	4	7
ENSG00000007516	73	90	106	94
ENSG00000007520	298	372	484	381
ENSG00000007541	214	192	209	200
ENSG00000007545	133	156	152	140
ENSG00000007866	127	138	85	83
ENSG00000007908	0	0	0	0
ENSG00000007923	971	1124	948	900
ENSG00000007933	0	0	0	0
ENSG00000007944	104	123	153	152
ENSG00000007952	12	5	9	11
ENSG00000007968	313	371	313	279
ENSG00000008018	2038	2371	2075	2040
ENSG00000008056	3	1	0	1
ENSG00000008083	441	452	270	227
ENSG00000008086	96	100	107	105
ENSG00000008118	0	0	0	0
ENSG00000008128	5	5	5	3
ENSG00000008130	921	1058	920	848
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	118	165	122	143
ENSG00000008256	1013	1107	1293	1221
ENSG00000008277	75	96	95	79
ENSG00000008282	1488	1750	1668	1495
ENSG00000008283	236	260	309	264
ENSG00000008294	1602	1819	1848	1738
ENSG00000008300	115	127	55	39
ENSG00000008311	632	784	680	656
ENSG00000008323	0	1	0	2
ENSG00000008324	186	231	199	203
ENSG00000008382	113	118	135	111
ENSG00000008394	1543	1693	2380	2304
ENSG00000008405	269	311	351	416
ENSG00000008438	4	9	6	0
ENSG00000008441	2028	2249	3279	3088
ENSG00000008513	318	384	237	193
ENSG00000008516	18	33	10	4
ENSG00000008517	14	13	43	25
ENSG00000008710	1652	1861	1502	1358
ENSG00000008735	2	1	2	0
ENSG00000008838	902	1025	839	897
ENSG00000008853	307	387	316	268
ENSG00000008869	282	326	279	283
ENSG00000008952	1424	1552	1855	1785
ENSG00000008988	4060	4530	3410	3002
ENSG00000009307	11468	13148	8579	8275
